"Column Name","Feature Representation"
"SubjectID","SubjectID"
"Activity","Activity"
"tBodyAcc-mean()-X","tBodyAccX"
"tBodyAcc-mean()-Y","tBodyAccY"
"tBodyAcc-mean()-Z","tBodyAccZ"
"tBodyAcc-std()-X","tBodyAccX"
"tBodyAcc-std()-Y","tBodyAccY"
"tBodyAcc-std()-Z","tBodyAccZ"
"tGravityAcc-mean()-X","tGravityAccX"
"tGravityAcc-mean()-Y","tGravityAccY"
"tGravityAcc-mean()-Z","tGravityAccZ"
"tGravityAcc-std()-X","tGravityAccX"
"tGravityAcc-std()-Y","tGravityAccY"
"tGravityAcc-std()-Z","tGravityAccZ"
"tBodyAccJerk-mean()-X","tBodyAccJerkX"
"tBodyAccJerk-mean()-Y","tBodyAccJerkY"
"tBodyAccJerk-mean()-Z","tBodyAccJerkZ"
"tBodyAccJerk-std()-X","tBodyAccJerkX"
"tBodyAccJerk-std()-Y","tBodyAccJerkY"
"tBodyAccJerk-std()-Z","tBodyAccJerkZ"
"tBodyGyro-mean()-X","tBodyGyroX"
"tBodyGyro-mean()-Y","tBodyGyroY"
"tBodyGyro-mean()-Z","tBodyGyroZ"
"tBodyGyro-std()-X","tBodyGyroX"
"tBodyGyro-std()-Y","tBodyGyroY"
"tBodyGyro-std()-Z","tBodyGyroZ"
"tBodyGyroJerk-mean()-X","tBodyGyroJerkX"
"tBodyGyroJerk-mean()-Y","tBodyGyroJerkY"
"tBodyGyroJerk-mean()-Z","tBodyGyroJerkZ"
"tBodyGyroJerk-std()-X","tBodyGyroJerkX"
"tBodyGyroJerk-std()-Y","tBodyGyroJerkY"
"tBodyGyroJerk-std()-Z","tBodyGyroJerkZ"
"tBodyAccMag-mean()","tBodyAccMag"
"tBodyAccMag-std()","tBodyAccMag"
"tGravityAccMag-mean()","tGravityAccMag"
"tGravityAccMag-std()","tGravityAccMag"
"tBodyAccJerkMag-mean()","tBodyAccJerkMag"
"tBodyAccJerkMag-std()","tBodyAccJerkMag"
"tBodyGyroMag-mean()","tBodyGyroMag"
"tBodyGyroMag-std()","tBodyGyroMag"
"tBodyGyroJerkMag-mean()","tBodyGyroJerkMag"
"tBodyGyroJerkMag-std()","tBodyGyroJerkMag"
"fBodyAcc-mean()-X","fBodyAccX"
"fBodyAcc-mean()-Y","fBodyAccY"
"fBodyAcc-mean()-Z","fBodyAccZ"
"fBodyAcc-std()-X","fBodyAccX"
"fBodyAcc-std()-Y","fBodyAccY"
"fBodyAcc-std()-Z","fBodyAccZ"
"fBodyAcc-meanFreq()-X","fBodyAccFreqX"
"fBodyAcc-meanFreq()-Y","fBodyAccFreqY"
"fBodyAcc-meanFreq()-Z","fBodyAccFreqZ"
"fBodyAccJerk-mean()-X","fBodyAccJerkX"
"fBodyAccJerk-mean()-Y","fBodyAccJerkY"
"fBodyAccJerk-mean()-Z","fBodyAccJerkZ"
"fBodyAccJerk-std()-X","fBodyAccJerkX"
"fBodyAccJerk-std()-Y","fBodyAccJerkY"
"fBodyAccJerk-std()-Z","fBodyAccJerkZ"
"fBodyAccJerk-meanFreq()-X","fBodyAccJerkFreqX"
"fBodyAccJerk-meanFreq()-Y","fBodyAccJerkFreqY"
"fBodyAccJerk-meanFreq()-Z","fBodyAccJerkFreqZ"
"fBodyGyro-mean()-X","fBodyGyroX"
"fBodyGyro-mean()-Y","fBodyGyroY"
"fBodyGyro-mean()-Z","fBodyGyroZ"
"fBodyGyro-std()-X","fBodyGyroX"
"fBodyGyro-std()-Y","fBodyGyroY"
"fBodyGyro-std()-Z","fBodyGyroZ"
"fBodyGyro-meanFreq()-X","fBodyGyroFreqX"
"fBodyGyro-meanFreq()-Y","fBodyGyroFreqY"
"fBodyGyro-meanFreq()-Z","fBodyGyroFreqZ"
"fBodyAccMag-mean()","fBodyAccMag"
"fBodyAccMag-std()","fBodyAccMag"
"fBodyAccMag-meanFreq()","fBodyAccMagFreq"
"fBodyBodyAccJerkMag-mean()","fBodyBodyAccJerkMag"
"fBodyBodyAccJerkMag-std()","fBodyBodyAccJerkMag"
"fBodyBodyAccJerkMag-meanFreq()","fBodyBodyAccJerkMagFreq"
"fBodyBodyGyroMag-mean()","fBodyBodyGyroMag"
"fBodyBodyGyroMag-std()","fBodyBodyGyroMag"
"fBodyBodyGyroMag-meanFreq()","fBodyBodyGyroMagFreq"
"fBodyBodyGyroJerkMag-mean()","fBodyBodyGyroJerkMag"
"fBodyBodyGyroJerkMag-std()","fBodyBodyGyroJerkMag"
"fBodyBodyGyroJerkMag-meanFreq()","fBodyBodyGyroJerkMagFreq"
"angle(tBodyAccMean,gravity)","angletBodyAcc,gravity"
"angle(tBodyAccJerkMean),gravityMean)","angletBodyAccJerk,gravity"
"angle(tBodyGyroMean,gravityMean)","angletBodyGyro,gravity"
"angle(tBodyGyroJerkMean,gravityMean)","angletBodyGyroJerk,gravity"
"angle(X,gravityMean)","angleX,gravity"
"angle(Y,gravityMean)","angleY,gravity"
"angle(Z,gravityMean)","angleZ,gravity"
